TotalAmount;BikePurchase;CustomerID;Country;CountryRegionCode;Group;PersonID;PersonType;DateFirstPurchase;BirthDate;Age;MaritalStatus;YearlyIncome;Gender;TotalChildren;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
8139;1;11003;Australia;AU;Pacific;11358;IN;37073;24883;52;S;50001-75000;F;0;Bachelors ;Professional;0;1
2994;1;14501;Southwest;US;North America;11211;IN;37073;14013;82;M;75001-100000;M;4;Graduate Degree;Management;1;2
4118;1;21768;Canada;CA;North America;14078;IN;37073;17036;74;S;50001-75000;M;5;Bachelors ;Management;1;3
4631;1;25863;Northwest;US;North America;10553;IN;37073;17139;74;S;25001-50000;F;5;High School;Professional;1;3
3399;1;28389;France;FR;Europe;15519;IN;37073;23729;56;S;0-25000;F;3;High School;Manual;0;0
8121;1;11005;Australia;AU;Pacific;6990;IN;37074;23959;55;S;50001-75000;M;0;Bachelors ;Professional;1;1
8133;1;11011;Australia;AU;Pacific;18258;IN;37074;23319;57;M;50001-75000;M;4;Bachelors ;Professional;1;4
5938;1;16624;Australia;AU;Pacific;14897;IN;37074;26507;48;S;75001-100000;M;0;Bachelors ;Professional;0;3
6051;1;27645;Southwest;US;North America;13514;IN;37074;22511;59;M;greater than 100000;M;1;High School;Professional;1;4
5873;1;16351;Australia;AU;Pacific;4916;IN;37075;19912;66;S;75001-100000;F;2;Partial College;Skilled Manual;0;2
4698;1;16517;Australia;AU;Pacific;16362;IN;37075;27838;44;M;0-25000;F;1;High School;Manual;1;0
3150;1;20042;United Kingdom;GB;Europe;9374;IN;37075;27153;46;M;25001-50000;M;1;Bachelors ;Skilled Manual;1;0
5998;1;27616;Southwest;US;North America;11853;IN;37075;24087;55;S;greater than 100000;F;3;Bachelors ;Management;1;4
5971;1;27621;Southwest;US;North America;4229;IN;37075;23403;56;S;greater than 100000;M;0;Graduate Degree;Management;0;4
5918;1;13513;Germany;DE;Europe;12797;IN;37076;15227;79;M;25001-50000;F;1;Bachelors ;Clerical;1;0
5997;1;27606;Northwest;US;North America;9351;IN;37076;20967;63;S;50001-75000;F;2;Partial College;Professional;0;0
8355;1;13591;United Kingdom;GB;Europe;6134;IN;37077;19504;67;M;greater than 100000;F;0;Bachelors ;Management;1;3
4118;1;16483;Australia;AU;Pacific;19122;IN;37077;18553;70;M;25001-50000;M;2;Bachelors ;Management;1;2
4752;1;16529;Australia;AU;Pacific;14487;IN;37077;28334;43;M;0-25000;M;0;Bachelors ;Clerical;1;0
1868;1;25249;Australia;AU;Pacific;2789;IN;37077;21040;63;S;50001-75000;F;1;Partial College;Skilled Manual;0;1
3578;1;27601;Southwest;US;North America;2835;IN;37077;19673;67;S;50001-75000;F;3;Partial High School;Skilled Manual;0;3
7265;1;13264;Germany;DE;Europe;9531;IN;37078;20598;64;M;greater than 100000;F;3;High School;Professional;1;4
8306;1;13590;United Kingdom;GB;Europe;13076;IN;37078;19497;67;M;greater than 100000;M;0;Bachelors ;Management;0;3
3578;1;27612;Southwest;US;North America;4819;IN;37078;20784;64;M;50001-75000;M;2;High School;Professional;1;2
6006;1;27668;Northwest;US;North America;16262;IN;37078;19658;67;S;50001-75000;M;3;Graduate Degree;Management;1;2
8374;1;13581;United Kingdom;GB;Europe;14920;IN;37079;17094;74;M;greater than 100000;M;4;Partial College;Professional;1;4
1503;1;14520;Northwest;US;North America;3679;IN;37079;28842;42;S;25001-50000;F;0;Partial College;Skilled Manual;0;1
4727;1;16520;Australia;AU;Pacific;16488;IN;37079;28056;44;M;0-25000;F;1;High School;Manual;1;0
8886;1;13258;Germany;DE;Europe;14374;IN;37080;20882;63;M;greater than 100000;F;2;Partial College;Professional;1;2
1538;1;14560;Southwest;US;North America;16903;IN;37080;25843;50;M;25001-50000;M;1;Bachelors ;Skilled Manual;1;1
5897;1;16607;Australia;AU;Pacific;6467;IN;37080;27633;45;M;50001-75000;M;0;Bachelors ;Professional;1;3
6576;1;11025;Australia;AU;Pacific;12565;IN;37081;16794;75;M;0-25000;M;2;Partial High School;Clerical;1;2
7542;1;11238;United Kingdom;GB;Europe;3392;IN;37081;21407;62;S;greater than 100000;F;2;Bachelors ;Management;0;4
5933;1;16629;Australia;AU;Pacific;4984;IN;37081;26555;48;S;greater than 100000;F;0;High School;Management;1;4
3399;1;25861;Southwest;US;North America;14663;IN;37081;16494;75;M;25001-50000;M;5;Partial High School;Skilled Manual;1;4
3578;1;27577;Northwest;US;North America;15498;IN;37081;21340;62;S;50001-75000;M;1;Bachelors ;Professional;0;1
3578;1;27666;Southwest;US;North America;11549;IN;37081;19931;66;M;50001-75000;F;3;Partial High School;Skilled Manual;1;2
8114;1;11002;Australia;AU;Pacific;11269;IN;37082;23966;55;M;50001-75000;M;3;Bachelors ;Professional;1;1
4698;1;16522;Australia;AU;Pacific;16300;IN;37082;29041;41;M;0-25000;F;1;High School;Manual;1;0
3578;1;27604;Northwest;US;North America;14154;IN;37082;20882;63;M;50001-75000;M;2;High School;Professional;1;2
5922;1;11606;France;FR;Europe;17081;IN;37083;27428;45;S;0-25000;F;0;Partial High School;Manual;0;2
7200;1;13261;Germany;DE;Europe;20666;IN;37083;20915;63;M;greater than 100000;F;3;Partial College;Professional;0;2
5948;1;13563;United Kingdom;GB;Europe;20158;IN;37083;25416;51;M;25001-50000;M;0;Graduate Degree;Skilled Manual;0;0
4752;1;16527;Australia;AU;Pacific;19328;IN;37083;28661;42;S;0-25000;M;0;Bachelors ;Clerical;1;0
8211;1;11007;Australia;AU;Pacific;3878;IN;37084;23506;56;M;50001-75000;M;3;Bachelors ;Professional;1;2
8330;1;13576;United Kingdom;GB;Europe;11896;IN;37084;16428;76;S;greater than 100000;F;3;Bachelors ;Management;0;3
5900;1;16631;Australia;AU;Pacific;3395;IN;37084;26012;49;S;75001-100000;F;0;Bachelors ;Professional;1;4
5997;1;27671;Northwest;US;North America;4003;IN;37084;19422;67;S;50001-75000;M;3;Graduate Degree;Management;0;2
4761;1;16514;Australia;AU;Pacific;15940;IN;37085;29231;40;S;0-25000;M;0;Partial College;Manual;1;1
5915;1;16616;Australia;AU;Pacific;19123;IN;37085;27186;46;S;75001-100000;M;0;Bachelors ;Professional;0;2
5895;1;11591;France;FR;Europe;17608;IN;37086;23147;57;S;25001-50000;F;3;Partial College;Clerical;1;0
5875;1;11592;France;FR;Europe;8368;IN;37086;28737;42;S;0-25000;M;0;High School;Manual;0;1
7259;1;13265;Germany;DE;Europe;16884;IN;37086;20476;64;S;greater than 100000;M;3;High School;Professional;1;4
4783;1;16482;Australia;AU;Pacific;10375;IN;37086;18398;70;M;25001-50000;F;3;Partial College;Clerical;0;2
5984;1;27623;Southwest;US;North America;18154;IN;37086;20792;64;S;75001-100000;M;3;Partial College;Professional;0;1
5971;1;27625;Northwest;US;North America;7620;IN;37086;20546;64;S;75001-100000;F;2;Partial College;Professional;0;0
6011;1;27636;Northwest;US;North America;8825;IN;37086;22924;58;M;75001-100000;F;1;Partial College;Professional;1;3
6434;1;11017;Australia;AU;Pacific;2521;IN;37087;16249;76;S;0-25000;F;4;High School;Skilled Manual;1;2
3078;1;19941;United Kingdom;GB;Europe;3536;IN;37087;17968;71;S;greater than 100000;M;3;High School;Management;0;4
5976;1;27617;Northwest;US;North America;9646;IN;37087;23399;56;S;75001-100000;F;0;Partial College;Professional;0;1
5976;1;27670;Southwest;US;North America;12715;IN;37087;19548;67;S;50001-75000;F;3;Graduate Degree;Management;0;2
8941;1;13257;Germany;DE;Europe;12446;IN;37088;21007;63;M;greater than 100000;M;2;Partial College;Professional;1;2
5948;1;16352;Australia;AU;Pacific;2674;IN;37088;19942;66;S;75001-100000;F;2;Partial College;Skilled Manual;1;2
4197;1;16493;Australia;AU;Pacific;15377;IN;37088;19668;67;M;25001-50000;F;3;Partial College;Skilled Manual;1;2
5997;1;27646;Southwest;US;North America;5365;IN;37088;22598;59;S;greater than 100000;M;1;Bachelors ;Management;0;2
8088;1;11010;Australia;AU;Pacific;6377;IN;37089;23413;56;S;50001-75000;F;0;Bachelors ;Professional;0;1
4752;1;16525;Australia;AU;Pacific;4926;IN;37089;28635;42;M;0-25000;F;0;Bachelors ;Clerical;0;0
5898;1;16612;Australia;AU;Pacific;9686;IN;37089;27628;45;S;75001-100000;F;0;Bachelors ;Professional;0;2
3578;1;27578;Southwest;US;North America;9955;IN;37089;21497;62;M;50001-75000;F;1;Bachelors ;Professional;1;1
6383;1;11001;Australia;AU;Pacific;5454;IN;37090;23876;55;S;50001-75000;M;3;Bachelors ;Professional;0;1
4698;1;16518;Australia;AU;Pacific;17360;IN;37090;27930;44;S;0-25000;F;1;High School;Manual;0;0
6591;1;11027;Australia;AU;Pacific;5526;IN;37091;17143;74;M;25001-50000;M;2;Partial College;Clerical;1;2
1547;1;14559;Southwest;US;North America;12587;IN;37091;25832;50;M;25001-50000;F;1;Bachelors ;Skilled Manual;1;0
5918;1;16348;Australia;AU;Pacific;11118;IN;37091;19909;66;M;75001-100000;M;2;Partial College;Skilled Manual;1;2
4733;1;16524;Australia;AU;Pacific;6665;IN;37091;29060;41;M;0-25000;M;0;Bachelors ;Clerical;1;0
4758;1;16526;Australia;AU;Pacific;10934;IN;37091;28788;42;S;0-25000;M;0;Bachelors ;Clerical;1;0
4143;1;21659;Canada;CA;North America;3338;IN;37091;23187;57;M;50001-75000;F;3;Graduate Degree;Professional;1;0
3578;1;27614;Northwest;US;North America;11969;IN;37091;20644;64;M;50001-75000;M;2;High School;Professional;0;2
3578;1;27649;Northwest;US;North America;15139;IN;37091;20248;65;M;50001-75000;M;2;High School;Professional;0;2
